ID,Upvotes
366953,177.17448
71864,419.1627
141692,57.78108
316833,32.432655
440445,285.28174
3514,175.0
331420,40.0
406540,234.35387
227379,88.351074
331687,175.0
32784,175.0
470377,75.034035
338103,175.0
29883,546.7039
218228,129.7929
70945,2978.36
14328,8.6605425
259947,59.013416
346378,578.834
384621,175.0
425418,23.405846
131224,51.65062
365408,8.6605425
218626,175.0
331722,125.0
310969,175.0
307391,489.5809
14072,280.28534
238694,175.0
213841,175.0
165258,129.7929
123606,110.0
214062,68.438515
279450,355.01764
178546,175.0
358455,32.432655
386308,175.0
155592,150.0
200090,8.6605425
127308,150.0
449766,218.74455
223688,2190.8403
442443,175.0
451259,356.54694
87024,175.0
207529,175.46692
196568,8.6605425
38258,833.7271
387275,175.0
86152,175.0
302142,260.5569
401268,526.62164
307187,175.0
252388,8.6605425
844,150.0
105707,68.438515
230309,495.5723
362573,144.34436
173751,194.81383
349049,175.0
310466,150.0
205786,234.35387
208358,5.970784
440214,32.432655
41343,150.0
427741,157.88127
355001,218.74455
137708,150.0
146326,527.57635
220889,150.0
205742,1516.2643
28737,150.0
292474,175.0
349149,175.0
46230,175.0
303160,19.896374
292638,418.80283
210116,110.0
55900,175.0
91135,175.0
452177,308.4205
170628,175.0
237099,101.702896
166022,175.0
175687,150.0
392847,175.0
454964,175.0
259259,8.6605425
289148,181.56946
311134,23.405846
62551,812.5506
336258,175.0
468049,57.78108
22189,8.6605425
264888,119.80199
451615,196.2462
85004,8.6605425
375246,84.52874
60204,175.0
126097,175.0
182425,5147.979
449937,75.034035
442637,10530.06
378184,23.405846
357584,328.7025
383054,32.432655
299871,110.0
152764,150.0
22064,8.6605425
416791,40.0
440686,129.7929
44537,175.0
80203,175.0
81726,150.0
440068,254.30222
109276,125.0
120567,175.0
169520,577.8359
84443,175.0
139139,5.1510735
346145,242.28996
75219,175.0
244042,129.7929
6992,110.0
337741,175.0
20091,725.93256
420761,22.701653
101501,175.0
408598,919.87775
306979,175.0
50260,150.0
21088,150.0
462951,175.0
196903,175.0
155361,257.92273
51756,175.0
192022,175.0
384071,175.0
173305,638.47473
56449,175.0
172164,175.0
341063,175.0
431990,32.432655
342757,58.074436
335181,175.0
121613,175.0
40216,29.742893
116940,495.5723
351719,175.0
436421,175.0
173164,20.079008
362350,175.0
357892,315.47772
335957,32.432655
192010,175.0
407412,175.0
19359,175.0
82078,267.6643
375709,1432.3397
122137,8.6605425
244661,561.16
434900,659.49927
54220,175.0
425162,194.81383
453118,20.716084
373873,175.0
238415,426.76337
53501,126.3465
67918,175.0
68982,175.0
81980,129.7929
332015,218.74455
171470,175.0
24209,175.0
396455,353.24985
236372,8.6605425
29062,271.48535
248733,175.0
43097,175.0
401490,68.438515
181282,75.034035
285264,125.0
386230,175.0
262238,239.6558
226323,8.6605425
224589,83.70903
61,175.0
120331,175.0
59519,175.0
263459,509.5917
188774,973.28613
157423,175.0
204323,749.0845
94807,175.0
130112,175.0
298030,374.567
361994,175.0
242867,129.7929
345301,175.0
404296,175.0
403325,8.6605425
78570,75.034035
247119,76.71095
433907,1172.6324
51709,175.0
256743,175.0
132448,101.702896
429148,40.0
384840,175.0
434864,220.26079
317954,194.81383
452061,95.0
85212,150.0
373284,218.74455
284208,373.2019
233976,129.7929
105691,942.1255
375077,168.40176
26720,20.079008
70683,488.6262
281194,23.405846
390953,418.80283
59608,371.1009
341707,40.0
403654,23.405846
209246,119.80199
295413,32.432655
379392,2224.2244
261533,32.432655
130134,150.0
137990,147.0843
413320,234.35387
468459,153.4105
189150,175.0
381154,175.0
373043,125.0
231677,5828.786
438093,129.7929
443706,101.702896
230906,8.6605425
138183,175.0
78231,175.0
70795,175.0
283674,23.405846
144543,175.0
213929,150.0
458437,967.6734
279629,23.405846
284422,175.0
29532,175.0
409963,150.0
325099,489.5809
409635,546.0519
18156,175.0
355380,175.0
412081,295.5584
363354,8.6605425
354537,580.0881
209720,175.0
150078,279.6682
31479,104.95793
455028,20.079008
104579,709.83386
102986,242.28996
60804,175.0
